location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,35.11492412661621
02,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,1.9980610412035982
04,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,103.07776659060568
05,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,76.77531770281166
06,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,119.71335215982383
08,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,60.67385128755551
09,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,23.337051055985448
10,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,5.626633915956526
11,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,6.083007310697078
12,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,295.2327783261926
13,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,95.11442081031524
15,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,0.0
16,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,13.411086983550119
17,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,65.41535300491722
18,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,129.067891532684
19,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,19.010962379991533
20,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,27.285453297794728
21,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,59.858508291828244
22,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,43.361856999564424
23,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,11.919767808577456
24,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,30.10720378965104
25,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,122.69913898371742
26,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,130.8674780134433
27,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,42.057447684205734
28,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,43.86730647680549
29,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,73.64265891611596
30,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,18.030368760167317
31,2024-02-10,-1,2024-02-10,wk inc flu hosp,quantile,0.01,7.8738283467626236
