location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,22.040463679525757
02,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.9809292465702251
04,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,33.026943267746695
05,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,30.51497050734224
06,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,83.83676617306587
08,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,13.602371894918138
09,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,22.982551791499336
10,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,3.0126520034356137
11,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,3.1471581499034698
12,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,170.19723859407924
13,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,10.764764940891201
15,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,1.2822621654957225
16,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,3.348242775446621
17,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,36.75754335845146
18,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,45.57180262189769
19,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,18.980848909743166
20,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,16.020141180411066
21,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,27.776334676035656
22,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,20.320597938733144
23,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.03778775858654586
24,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,17.929387556980135
25,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,61.007005878733366
26,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,105.66163838745183
27,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,39.58697968109175
28,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,13.07571478686695
29,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,42.95651863059236
30,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,3.9855742044456406
31,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,11.315564384498451
32,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.0
33,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,1.704483569889394
34,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,49.77014929452926
35,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.0
36,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,116.98468003396934
37,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,10.183024618853802
38,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,6.83050888167317
39,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,66.93656956590279
40,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.0
41,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.0
42,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,80.6507634066617
44,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,1.8752816369158567
45,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,39.57417215986255
46,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,8.46480698806166
47,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,26.90730998270754
48,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,193.94168110044893
49,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.0
50,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,2.380387043963508
51,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,49.97994940038054
53,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,0.0
54,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,26.116319353028647
55,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,15.546932633030817
56,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,3.159072596967239
72,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,32.880297053063195
US,2024-04-06,-1,2024-04-06,wk inc flu hosp,quantile,0.01,1767.1580626163293
01,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,21.098952867027073
02,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.7747054444355311
04,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,29.959579335304966
05,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,27.130180386205325
06,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,81.5261999015052
08,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,11.807651809701365
09,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,17.950743657677044
10,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,2.2156117034887504
11,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,2.2855628589532246
12,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,163.57854667701548
13,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,8.306465998371118
15,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,1.1025529648124173
16,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,1.4554334788613565
17,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,28.8773126686641
18,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,39.58181720858229
19,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,10.640019648593182
20,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,12.387029400713947
21,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,23.054859329366153
22,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,19.573396484297017
23,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
24,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,15.373074094398879
25,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,43.59411540305332
26,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,61.82668634073763
27,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,29.151817916377517
28,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,12.319159967673118
29,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,30.465163273670065
30,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,2.9624776945288165
31,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,6.165023114081615
32,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
33,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.8172089187985958
34,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,43.384902892020385
35,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
36,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,107.28727248321115
37,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,7.878396056063448
38,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,5.661019144231931
39,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,51.35368674337807
40,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
41,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
42,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,72.71517346809438
44,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.9098100582492001
45,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,38.463540608992815
46,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,5.504520674556924
47,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,24.431696460327814
48,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,188.34246757706813
49,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
50,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.5651619049182061
51,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,47.67203457367765
53,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,0.0
54,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,21.92227580892646
55,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,7.281721665108354
56,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,2.9120710770518428
72,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,32.41151350511517
US,2024-04-06,0,2024-04-13,wk inc flu hosp,quantile,0.01,1621.1479520205091
01,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,19.709335896080752
02,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,0.55321960309126
04,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,28.087301199691268
05,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,25.668352015331635
06,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,79.75735327148134
08,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,10.064561402802585
09,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,15.745222344470681
10,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,1.7788879148417347
11,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,1.8196592536595737
12,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,157.7982059071401
13,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,6.67534229094051
15,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,0.9630449470037817
16,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,0.0
17,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,24.615799168763836
18,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,35.852196770689275
19,2024-04-06,1,2024-04-20,wk inc flu hosp,quantile,0.01,7.176763662711095
