location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,59.37136167867553
02,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,0.33899517576299965
04,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,196.55875324701668
05,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,18.661209220172005
06,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,335.5506768533691
08,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,65.39367187554201
09,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,47.35632326652526
10,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,5.094375203762983
11,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,3.8035065861654234
12,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,365.4249377132101
13,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,182.45161884178836
15,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,5.18133420463015
16,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,24.609291224475733
17,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,102.1138832894015
18,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,101.14922438346493
19,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,13.027334671456353
20,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,10.02088628963087
21,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,34.56474865091318
22,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,74.7967359018102
23,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,5.0518167178589195
24,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,53.59306566984945
25,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,83.33443894581168
26,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,102.90490734280588
27,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,30.965308635768242
28,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,39.80764926900939
29,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,67.96023478086377
30,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,13.947640351001876
31,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,4.109224383717607
32,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,37.508187641943294
33,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,8.433962714825663
34,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,124.31103916676355
35,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,53.92885407384018
36,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,252.4109625138876
37,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,129.871083409885
38,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,1.9286533336351972
39,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,109.82365114094794
40,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,31.749493080490698
41,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,10.442553641315397
42,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,209.23835702431415
44,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,7.439938243546561
45,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,90.54180660477812
46,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,3.803715921632201
47,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,85.79674431567486
48,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,463.00590868322223
49,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,7.778887162660778
50,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,1.453375342846144
51,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,103.22933586061643
53,2023-12-23,-1,2023-12-23,wk inc flu hosp,quantile,0.01,40.78275144235983
